sentence,sentiment,topic,sentence_final,sentence_segmented,len_original,len_final,len_segmented
cho nghỉ nhiều hoặc lên lớp không có ai dạy .,0,0,cho nghỉ nhiều hoặc lên lớp không có ai dạy .,cho nghỉ nhiều hoặc lên lớp không có ai dạy .,11,11,11
thầy giảng bài dễ hiểu nhiệt tình !,2,0,thầy giảng bài dễ hiểu nhiệt tình,thầy giảng bài dễ hiểu nhiệt_tình,8,7,6
không đánh giá đúng thực lực của sinh viên .,0,0,không đánh giá đúng thực lực của sinh viên .,không đánh_giá đúng thực_lực của sinh_viên .,10,10,7
"ít giảng bài cho sinh viên , sinh viên thắc mắc không được giải đáp cặn kẽ , rất mơ hồ .",0,0,ít giảng bài cho sinh viên sinh viên thắc mắc không được giải đáp cặn kẽ rất mơ hồ .,ít giảng_bài cho sinh_viên sinh_viên thắc_mắc không được giải_đáp cặn_kẽ rất mơ_hồ .,22,20,13
"cô chỉ dẫn nhiệt tình , giải đáp thắc mắc kịp thời .",2,0,cô chỉ dẫn nhiệt tình giải đáp thắc mắc kịp thời .,cô chỉ_dẫn nhiệt_tình giải_đáp thắc_mắc kịp_thời .,13,12,7
"cái gì không biết thì phải tự mày mò tìm kiếm , không thể cứ trông đợi lời giải đáp từ giảng viên .",2,3,cái gì không biết thì phải tự mày mò tìm kiếm không thể cứ trông đợi lời giải đáp từ giảng viên .,cái gì không biết thì phải tự mày_mò tìm_kiếm không_thể cứ trông_đợi lời giải_đáp từ giảng_viên .,24,23,17
nên cập nhật thêm nhiều chuẩn web mới như progressive web app hay amp có tác động tốt đến seo .,0,1,nên cập nhật thêm nhiều chuẩn web mới như progressive web app hay có tác động tốt đến seo .,nên cập_nhật thêm nhiều chuẩn_web mới như progressive_web app hay có tác_động tốt đến seo .,21,20,16
điều chỉnh máy lạnh phù hợp với thời tiết .,0,2,điều chỉnh máy lạnh phù hợp với thời tiết .,điều_chỉnh máy_lạnh phù_hợp với thời_tiết .,10,10,6
giáo viên có thể cung cấp slide bài giảng trước cho sinh viên để sinh viên nghiên cứu trước mỗi buổi học .,0,0,giáo viên có thể cung cấp slide bài giảng trước cho sinh viên để sinh viên nghiên cứu trước mỗi buổi học .,giáo_viên có_thể cung_cấp slide bài giảng trước cho sinh_viên để sinh_viên nghiên_cứu trước mỗi buổi học .,23,23,17
"thầy dạy hay , dễ hiểu , ví dụ minh họa thực tiễn .",2,0,thầy dạy hay dễ hiểu ví dụ minh họa thực tiễn .,thầy dạy hay dễ hiểu ví_dụ minh_họa thực_tiễn .,14,12,9
"chưa được cung cấp hay giới thiệu về tài liệu tham khảo , thời gian chép bài trên bảng còn tốn hơi nhiều thời gian .",0,1,chưa được cung cấp hay giới thiệu về tài liệu tham khảo thời gian chép bài trên bảng còn tốn hơi nhiều thời gian .,chưa được cung_cấp hay giới_thiệu về tài_liệu tham_khảo thời_gian chép bài trên bảng còn tốn hơi nhiều thời_gian .,26,25,19
được thực hành trên thiết bị thực .,2,2,được thực hành trên thiết bị thực .,được thực_hành trên thiết_bị thực .,8,8,6
cần tăng cường ôn tập để kiểm tra như doubledot đưa ra một số đề kiểm tra tham khảo cho sinh viên .,0,1,cần tăng cường ôn tập để kiểm tra như đưa ra một số đề kiểm tra tham khảo cho sinh viên .,cần tăng_cường ôn_tập để kiểm_tra như đưa ra một_số đề kiểm_tra tham_khảo cho sinh_viên .,23,22,15
"về bài tập , không bao giờ dạy tính toán gì cả , mà về nhà thì bài tập , deadline , rồi bài làm 15 phút trên lớp , đủ kiểu kiểm tra .",0,1,về bài tập không bao giờ dạy tính toán gì cả mà về nhà thì bài tập deadline rồi bài làm 15 phút trên lớp đủ kiểu kiểm tra .,về bài_tập không bao_giờ dạy tính_toán gì cả mà về nhà thì bài_tập deadline rồi bài làm 15 phút trên lớp đủ kiểu kiểm_tra .,35,30,25
"giản viên không có tương tác với sinh viên , đọc slide xong rồi về .",0,0,giản viên không có tương tác với sinh viên đọc slide xong rồi về .,giản_viên không có tương_tác với sinh_viên đọc slide xong rồi về .,16,15,12
"thầy dạy rất hay , nhiệt tình .",2,0,thầy dạy rất hay nhiệt tình .,thầy dạy rất hay nhiệt_tình .,8,7,6
"thầy dạy nhiệt tình , tâm huyết .",2,0,thầy dạy nhiệt tình tâm huyết .,thầy dạy nhiệt_tình tâm_huyết .,8,7,5
giảng viên giảng dạy hiệu quả bằng tiếng anh .,2,0,giảng viên giảng dạy hiệu quả bằng tiếng anh .,giảng_viên giảng_dạy hiệu_quả bằng tiếng anh .,10,10,7
"nhiệt tình , tận tâm và tuyệt vời .",2,0,nhiệt tình tận tâm và tuyệt vời .,nhiệt_tình tận_tâm và tuyệt_vời .,9,8,5
"em cảm ơn thầy colonlove à còn cái thầy vui tính ghê , cười đùa nói chuyện thân thiện .",2,0,em cảm ơn thầy colonlove à còn cái thầy vui tính ghê cười đùa nói chuyện thân thiện .,em cảm_ơn thầy colonlove à còn cái thầy vui_tính ghê cười_đùa nói_chuyện thân_thiện .,20,19,14
thầy có giải thích phần thực hành trước khi cho sinh viên làm .,2,0,thầy có giải thích phần thực hành trước khi cho sinh viên làm .,thầy có giải_thích phần thực_hành trước khi cho sinh_viên làm .,14,14,11
để dễ dàng vận dụng kiến thức trên lớp .,0,3,để dễ dàng vận dụng kiến thức trên lớp .,để dễ_dàng vận_dụng kiến_thức trên lớp .,10,10,7
"truyền đạt tốt , nhiệt tình , thân thiện với sinh viên .",2,0,truyền đạt tốt nhiệt tình thân thiện với sinh viên .,truyền_đạt tốt nhiệt_tình thân_thiện với sinh_viên .,13,11,7
em rất thích những tiết sửa bài tập của cô .,2,0,em rất thích những tiết sửa bài tập của cô .,em rất thích những tiết sửa bài_tập của cô .,11,11,10
"thầy tận tâm , dạy dễ hiểu .",2,0,thầy tận tâm dạy dễ hiểu .,thầy tận tâm_dạy dễ hiểu .,8,7,6
giảng viên cho bài tập để làm .,1,0,giảng viên cho bài tập để làm .,giảng_viên cho bài_tập để làm .,8,8,6
"giảng viên vui vẻ , nhiệt tình , kỹ năng truyền đạt tốt .",2,0,giảng viên vui vẻ nhiệt tình kỹ năng truyền đạt tốt .,giảng_viên vui_vẻ nhiệt_tình kỹ_năng truyền_đạt tốt .,14,12,7
độ tập trung và cách làm việc của thầy rất nghiêm túc quy cũ .,0,0,độ tập trung và cách làm việc của thầy rất nghiêm túc quy cũ .,độ tập_trung và cách làm_việc của thầy rất nghiêm_túc quy_cũ .,15,15,11
"thầy dạy dễ hiểu , vui tính , nhiệt tình , gần gũi với học sinh .",2,0,thầy dạy dễ hiểu vui tính nhiệt tình gần gũi với học sinh .,thầy dạy dễ hiểu vui_tính nhiệt_tình gần_gũi với học_sinh .,17,14,10
không có ý kiến chất lượng môn học vừa đủ cho mọi sinh viên .,1,3,không có ý kiến chất lượng môn học vừa đủ cho mọi sinh viên .,không có ý_kiến chất_lượng môn_học vừa đủ cho mọi sinh_viên .,15,15,11
giọng nói của cô hơi khó nghe nhưng dần dần quen rồi thì mọi việc điều tốt .,1,0,giọng nói của cô hơi khó nghe nhưng dần dần quen rồi thì mọi việc điều tốt .,giọng nói của cô hơi khó nghe nhưng dần_dần quen rồi thì mọi việc điều tốt .,18,18,17
có thêm nhiều phong trào liên quan tới tiếng anh hơn nữa .,0,1,có thêm nhiều phong trào liên quan tới tiếng anh hơn nữa .,có thêm nhiều phong_trào liên_quan tới tiếng anh hơn_nữa .,13,13,10
"vui tính , tận tình .",2,0,vui tính tận tình .,vui_tính tận_tình .,6,5,3
"cô giảng dạy tận tình , không khí học tập vui vẻ .",2,0,cô giảng dạy tận tình không khí học tập vui vẻ .,cô giảng_dạy tận_tình không_khí học_tập vui_vẻ .,13,12,7
cần nâng cao chất lượng dạy .,0,1,cần nâng cao chất lượng dạy .,cần nâng cao chất_lượng dạy .,7,7,6
kiến thức cao .,0,1,kiến thức cao .,kiến_thức cao .,4,4,3
tăng cường ôn tập để kiểm tra như doubledot cho sinh viên làm thử các đề kiểm tra .,0,1,tăng cường ôn tập để kiểm tra như cho sinh viên làm thử các đề kiểm tra .,tăng_cường ôn_tập để kiểm_tra như cho sinh_viên làm thử các đề kiểm_tra .,19,18,13
"nếu có thể nhà trường ngoài việc lên kế hoạch thành lập một câu lạc bộ tiếng anh , cũng nên tạo điều kiện cho sinh viên tìm hiểu ngoại ngữ khác như tiếng nhật , tiếng trung .",0,1,nếu có thể nhà trường ngoài việc lên kế hoạch thành lập một câu lạc bộ tiếng anh cũng nên tạo điều kiện cho sinh viên tìm hiểu ngoại ngữ khác như tiếng nhật tiếng trung .,nếu có_thể nhà_trường ngoài việc lên kế_hoạch thành_lập một câu_lạc_bộ tiếng anh cũng_nên tạo điều_kiện cho sinh_viên tìm_hiểu ngoại_ngữ khác như tiếng nhật_tiếng trung .,39,37,25
"cười duyên , rất tốt với học sinh .",2,0,cười duyên rất tốt với học sinh .,cười_duyên rất tốt với học_sinh .,9,8,6
"bên cạnh đó còn có rèn kỹ năng viết , kỹ năng hoạt động nhóm và tương tác trực tiếp rất hiệu quả .",2,1,bên cạnh đó còn có rèn kỹ năng viết kỹ năng hoạt động nhóm và tương tác trực tiếp rất hiệu quả .,bên cạnh đó còn có rèn kỹ_năng viết kỹ_năng hoạt_động nhóm và tương_tác trực_tiếp rất hiệu_quả .,24,23,17
mong kỳ sau thầy vẫn dạy một số môn khác .,2,0,mong kỳ sau thầy vẫn dạy một số môn khác .,mong kỳ sau thầy vẫn dạy một_số môn khác .,11,11,10
có những câu chuyện thực tế về môn học giúp buổi học đỡ căng thẳng cũng như có cách nhìn trực quan hơn .,2,0,có những câu chuyện thực tế về môn học giúp buổi học đỡ căng thẳng cũng như có cách nhìn trực quan hơn .,có những câu_chuyện thực_tế về môn_học giúp buổi học đỡ căng_thẳng cũng như có cách nhìn trực_quan hơn .,24,24,19
không có gì phàn nàn về giảng viên .,1,0,không có gì phàn nàn về giảng viên .,không có gì phàn_nàn về giảng_viên .,9,9,7
phòng máy có quá nhiều máy không sử dụng được .,0,2,phòng máy có quá nhiều máy không sử dụng được .,phòng máy có quá nhiều máy không sử_dụng được .,11,11,10
thầy dạy quá tốt .,2,0,thầy dạy quá tốt .,thầy dạy quá tốt .,5,5,5
nên cập nhật những phương pháp dạy phản xạ để tạo hướng thú cho sinh viên .,0,1,nên cập nhật những phương pháp dạy phản xạ để tạo hướng thú cho sinh viên .,nên cập_nhật những phương_pháp dạy phản_xạ để tạo hướng thú cho sinh_viên .,17,17,13
"tích cực trong giảng dạy , vui vẻ .",2,0,tích cực trong giảng dạy vui vẻ .,tích_cực trong giảng_dạy vui_vẻ .,9,8,5
tránh trường hợp lý thuyết chưa học mà làm bài thực hành .,0,1,tránh trường hợp lý thuyết chưa học mà làm bài thực hành .,tránh trường_hợp lý_thuyết chưa học mà làm bài thực_hành .,13,13,10
"dạy không tận tình , dạy cho có cho đầy đủ trách nhiệm .",0,0,dạy không tận tình dạy cho có cho đầy đủ trách nhiệm .,dạy không tận_tình dạy cho có cho đầy_đủ trách_nhiệm .,14,13,10
cần có đề cương môn học rõ ràng .,0,1,cần có đề cương môn học rõ ràng .,cần có đề_cương môn_học rõ_ràng .,9,9,6
"dành thời gian cho kỹ năng nói trong giờ học càng nhiều càng tốt , thời gian dành cho việc này em thấy chưa đủ .",0,1,dành thời gian cho kỹ năng nói trong giờ học càng nhiều càng tốt thời gian dành cho việc này em thấy chưa đủ .,dành thời_gian cho kỹ_năng nói trong giờ học càng nhiều càng tốt thời_gian dành cho việc này em thấy chưa đủ .,26,25,22
cô giảng dạy rất nhiệt tình !,2,0,cô giảng dạy rất nhiệt tình,cô giảng_dạy rất nhiệt_tình,7,6,4
"cô dạy nhanh lắm , chúng em không theo kịp .",0,0,cô dạy nhanh lắm chúng em không theo kịp .,cô dạy nhanh lắm chúng_em không theo kịp .,11,10,9
cần viết riêng một cuốn sách về hướng dẫn thực hành oop .,0,1,cần viết riêng một cuốn sách về hướng dẫn thực hành oop .,cần viết riêng một cuốn sách về hướng_dẫn thực_hành oop .,13,13,11
sử dụng thời gian một cách hợp lý .,2,0,sử dụng thời gian một cách hợp lý .,sử_dụng thời_gian một_cách hợp_lý .,9,9,5
thầy thường xuyên đặt ra các câu hỏi trên lớp giúp sinh viên dễ tiếp thu bài .,2,0,thầy thường xuyên đặt ra các câu hỏi trên lớp giúp sinh viên dễ tiếp thu bài .,thầy thường_xuyên đặt ra các câu hỏi trên lớp giúp sinh_viên dễ tiếp_thu bài .,18,18,15
"giáo viên nhiệt tình , giảng dạy tốt giúp truyền đạt kiến thức tới sinh viên .",2,0,giáo viên nhiệt tình giảng dạy tốt giúp truyền đạt kiến thức tới sinh viên .,giáo_viên nhiệt_tình giảng_dạy tốt giúp truyền_đạt kiến_thức tới sinh_viên .,17,16,10
"giảng viên thân thiện , nhiệt tình trong giảng dạy như hướng dẫn thực hành hay giải đáp thắc mắc của sinh viên .",2,0,giảng viên thân thiện nhiệt tình trong giảng dạy như hướng dẫn thực hành hay giải đáp thắc mắc của sinh viên .,giảng_viên thân_thiện nhiệt_tình trong giảng_dạy như hướng_dẫn thực_hành hay giải_đáp thắc_mắc của sinh_viên .,24,23,14
giảng viên nên đi dạy thường xuyên hơn .,0,0,giảng viên nên đi dạy thường xuyên hơn .,giảng_viên nên đi dạy thường_xuyên hơn .,9,9,7
"cung cấp đầy đủ kiến thức , giúp sinh viên định hướng tốt .",2,0,cung cấp đầy đủ kiến thức giúp sinh viên định hướng tốt .,cung_cấp đầy_đủ kiến_thức giúp sinh_viên định_hướng tốt .,14,13,8
cố dạy rất tốt .,2,0,cố dạy rất tốt .,cố dạy rất tốt .,5,5,5
"mỗi lúc hết tiết sớm , thầy thường giảng cho các sinh viên những kiến thức môn bên ngoài như lập trình giúp sinh viên giải đáp một số thắc mắc hoặc một số bài tập nâng cao .",2,0,mỗi lúc hết tiết sớm thầy thường giảng cho các sinh viên những kiến thức môn bên ngoài như lập trình giúp sinh viên giải đáp một số thắc mắc hoặc một số bài tập nâng cao .,mỗi lúc hết_tiết sớm thầy thường giảng cho các sinh_viên những kiến_thức môn bên ngoài như lập_trình giúp sinh_viên giải_đáp một_số thắc_mắc hoặc một_số bài_tập nâng cao .,39,38,28
coi thi quá khó .,0,0,coi thi quá khó .,coi thi quá khó .,5,5,5
"thời gian học tập thoải mái , thầy rất hiểu tâm lý sinh viên .",2,0,thời gian học tập thoải mái thầy rất hiểu tâm lý sinh viên .,thời_gian học_tập thoải_mái thầy rất hiểu tâm_lý sinh_viên .,15,14,9
bài tập đầy đủ lý thuyết dễ hiểu .,2,1,bài tập đầy đủ lý thuyết dễ hiểu .,bài_tập đầy_đủ lý_thuyết dễ hiểu .,9,9,6
thầy đi đúng giờ .,2,0,thầy đi đúng giờ .,thầy đi đúng giờ .,5,5,5
thời gian bù môn học thường bị trùng với những tiết khác nên em thường phải bị vắng tiết .,0,1,thời gian bù môn học thường bị trùng với những tiết khác nên em thường phải bị vắng tiết .,thời_gian bù môn_học thường bị trùng với những tiết khác nên em thường phải bị vắng_tiết .,20,20,17
em rất thích học cô nhưng đáng tiếc là không còn được học cô nhiều nữa .,2,0,em rất thích học cô nhưng đáng tiếc là không còn được học cô nhiều nữa .,em rất thích học cô nhưng đáng tiếc là không còn được học cô nhiều nữa .,17,17,17
tạo ra các hoạt động giúp tụi em chủ động tìm hiểu kiến thức và ghi nhớ bài học sâu hơn .,2,0,tạo ra các hoạt động giúp tụi em chủ động tìm hiểu kiến thức và ghi nhớ bài học sâu hơn .,tạo ra các hoạt_động giúp tụi em chủ_động tìm_hiểu kiến_thức và ghi_nhớ bài_học sâu hơn .,22,22,16
"cô cho nghỉ khá nhiều , dù có học bù nhưng như vậy khá là mất thời gian của sinh viên .",0,0,cô cho nghỉ khá nhiều dù có học bù nhưng như vậy khá là mất thời gian của sinh viên .,cô cho nghỉ khá nhiều dù có học bù nhưng như_vậy khá là mất thời_gian của sinh_viên .,22,21,18
cần sửa chữa các linh kiện phòng máy wzjwz23 vì một số chuột đã hư .,0,2,cần sửa chữa các linh kiện phòng máy vì một số chuột đã hư .,cần sửa_chữa các linh_kiện phòng máy vì một_số chuột đã hư .,16,15,12
ít trả lời mail hỏi bài tập thực hành của sinh viên .,0,0,ít trả lời mail hỏi bài tập thực hành của sinh viên .,ít trả_lời mail hỏi bài_tập thực_hành của sinh_viên .,13,13,9
cung cấp kiến thức đầy đủ .,2,0,cung cấp kiến thức đầy đủ .,cung_cấp kiến_thức đầy_đủ .,7,7,4
"giảng dạy nhiệt tình , hiệu quả .",2,0,giảng dạy nhiệt tình hiệu quả .,giảng_dạy nhiệt_tình hiệu_quả .,8,7,4
hỗ trợ thêm tài liệu cho sinh viên .,0,2,hỗ trợ thêm tài liệu cho sinh viên .,hỗ_trợ thêm tài_liệu cho sinh_viên .,9,9,6
âm thanh phòng học wzjwz238 còn quá nhỏ nên khiến thầy thường nói không micro .,0,2,âm thanh phòng học còn quá nhỏ nên khiến thầy thường nói không micro .,âm_thanh phòng học còn quá nhỏ nên khiến thầy thường nói không micro .,16,15,14
"thầy dạy rất tận tâm , kiến thức chuyên môn cực tốt .",2,0,thầy dạy rất tận tâm kiến thức chuyên môn cực tốt .,thầy dạy rất tận_tâm kiến_thức chuyên_môn cực tốt .,13,12,9
có thông báo về lịch thi nói trên web môn học .,2,3,có thông báo về lịch thi nói trên web môn học .,có thông_báo về lịch thi nói trên web môn_học .,12,12,10
chỉ dẫn tận tình từng bạn .,2,0,chỉ dẫn tận tình từng bạn .,chỉ_dẫn tận_tình từng bạn .,7,7,5
đôi lúc giảng bài hơi bị nhanh .,0,0,đôi lúc giảng bài hơi bị nhanh .,đôi_lúc giảng bài hơi bị nhanh .,8,8,7
"đề cương cần được đổi mới , phân rõ phần trọng tâm môn học và phần đọc thêm mở rộng .",0,1,đề cương cần được đổi mới phân rõ phần trọng tâm môn học và phần đọc thêm mở rộng .,đề_cương cần được đổi_mới phân rõ phần trọng_tâm môn_học và phần đọc thêm mở_rộng .,21,20,15
"cần sử dụng giờ lên lớp có hiệu quả , ít nghe điện thoại , ít nghỉ dạy hơn .",0,0,cần sử dụng giờ lên lớp có hiệu quả ít nghe điện thoại ít nghỉ dạy hơn .,cần sử_dụng giờ lên_lớp có hiệu_quả ít nghe điện_thoại ít nghỉ dạy hơn .,20,18,14
giảng viên chú trọng vào nội dung chính của môn học và nhiệt tình .,2,0,giảng viên chú trọng vào nội dung chính của môn học và nhiệt tình .,giảng_viên chú_trọng vào nội_dung chính của môn_học và nhiệt_tình .,15,15,10
giáo viên nghỉ dạy .,0,0,giáo viên nghỉ dạy .,giáo_viên nghỉ dạy .,5,5,4
cần cho ví dụ nhiều hơn .,0,1,cần cho ví dụ nhiều hơn .,cần cho ví_dụ nhiều hơn .,7,7,6
"nhiệt tình , đề cương đầy đủ .",2,0,nhiệt tình đề cương đầy đủ .,nhiệt_tình đề_cương đầy_đủ .,8,7,4
lúc thầy giảng chung cả lớp rất khó để các bạn dưới lớp nghe được giọng thầy .,0,0,lúc thầy giảng chung cả lớp rất khó để các bạn dưới lớp nghe được giọng thầy .,lúc thầy giảng chung cả lớp rất khó để các bạn dưới lớp nghe được giọng thầy .,18,18,18
không có ý kiến !,1,3,không có ý kiến,không có ý_kiến,5,4,3
theo em thì không thể trách thầy wzjwz120 mà lỗi là do daa đưa lịch học thực hành quá chậm trễ .,0,1,theo em thì không thể trách thầy mà lỗi là do daa đưa lịch học thực hành quá chậm trễ .,theo em thì không_thể trách thầy mà lỗi là do daa đưa lịch_học thực_hành quá chậm_trễ .,22,21,17
"nhiệt tình , sử dụng hiệu quả giờ lên lớp .",2,0,nhiệt tình sử dụng hiệu quả giờ lên lớp .,nhiệt_tình sử_dụng hiệu_quả giờ lên_lớp .,11,10,6
mong thầy dành nhiều thời gian hơn trong việc ôn sửa các dạng bài tập có trong các kỳ thi .,0,0,mong thầy dành nhiều thời gian hơn trong việc ôn sửa các dạng bài tập có trong các kỳ thi .,mong thầy dành nhiều thời_gian hơn trong việc ôn_sửa các dạng bài_tập có trong các kỳ thi .,21,21,18
"cô giảng rất hay , thâm thúy , giúp cho sinh viên dễ dàng hiểu bài .",2,0,cô giảng rất hay thâm thúy giúp cho sinh viên dễ dàng hiểu bài .,cô giảng rất hay thâm_thúy giúp cho sinh_viên dễ_dàng hiểu bài .,17,15,12
ngoài ra còn cung cấp thêm một số kiến thức mới mà không có trong chương trình dạy .,2,1,ngoài ra còn cung cấp thêm một số kiến thức mới mà không có trong chương trình dạy .,ngoài_ra còn cung_cấp thêm một_số kiến_thức mới mà không có trong chương_trình dạy .,19,19,14
chỉ cho sinh viên biết nhiều điều cốt lõi trong môn học mà ít ai biết .,2,0,chỉ cho sinh viên biết nhiều điều cốt lõi trong môn học mà ít ai biết .,chỉ cho sinh_viên biết nhiều điều cốt_lõi trong môn_học mà ít ai biết .,17,17,14
"thời gian các buổi học , thông báo nghỉ chưa chính xác .",0,0,thời gian các buổi học thông báo nghỉ chưa chính xác .,thời_gian các buổi học thông_báo nghỉ chưa chính_xác .,13,12,9
thầy dạy nhiệt tình và thân thiện với sinh viên .,2,0,thầy dạy nhiệt tình và thân thiện với sinh viên .,thầy dạy nhiệt_tình và thân_thiện với sinh_viên .,11,11,8
không có gì ạ .,1,3,không có gì ạ .,không có gì ạ .,5,5,5
giảng hay và rất vui .,2,0,giảng hay và rất vui .,giảng hay và rất vui .,6,6,6
"giáo án ngắn gọn , dễ hiểu , dạy học nhiệt tình .",2,0,giáo án ngắn gọn dễ hiểu dạy học nhiệt tình .,giáo_án ngắn_gọn dễ hiểu dạy_học nhiệt_tình .,13,11,7
"thầy giảng dạy nhiệt tình dễ hiểu , sửa bài tập kỹ .",2,0,thầy giảng dạy nhiệt tình dễ hiểu sửa bài tập kỹ .,thầy giảng_dạy nhiệt_tình dễ hiểu sửa bài_tập kỹ .,13,12,9
môn học vẫn còn là một môn với nhiều lý thuyết trong slide .,0,1,môn học vẫn còn là một môn với nhiều lý thuyết trong slide .,môn_học vẫn còn là một môn với nhiều lý_thuyết trong slide .,14,14,12
mong nhà trường tạo điều kiện cho sinh viên chúng em được nghiên cứu nhiều hơn là phải làm theo .,0,1,mong nhà trường tạo điều kiện cho sinh viên chúng em được nghiên cứu nhiều hơn là phải làm theo .,mong nhà_trường tạo điều_kiện cho sinh_viên chúng_em được nghiên_cứu nhiều hơn là phải làm theo .,21,21,16
"cần tăng số buổi thực hành cũng như trang bị thêm trang thiết bị như mua thêm nhiều switch , router , hub , bridge , trong phòng ngồi học mà ít bụi và nòng đi thì tốt hơn , vdotv .",0,2,cần tăng số buổi thực hành cũng như trang bị thêm trang thiết bị như mua thêm nhiều switch router hub bridge trong phòng ngồi học mà ít bụi và nòng đi thì tốt hơn .,cần tăng số buổi thực_hành cũng như trang_bị thêm trang_thiết_bị như mua thêm nhiều switch router hub bridge trong phòng ngồi học mà ít bụi và nòng đi thì tốt hơn .,42,36,32
cần có thêm bài tập về nhà và sửa một vài bài tập đó trên lớp để việc tiếp thu bài được sâu hơn và hiệu quả hơn .,0,1,cần có thêm bài tập về nhà và sửa một vài bài tập đó trên lớp để việc tiếp thu bài được sâu hơn và hiệu quả hơn .,cần có thêm bài_tập về nhà và sửa một_vài bài_tập đó trên lớp để việc tiếp_thu bài được sâu hơn và hiệu_quả hơn .,29,29,24
thầy đưa deadline trễ và không rõ ràng .,0,0,thầy đưa deadline trễ và không rõ ràng .,thầy đưa deadline_trễ và không rõ_ràng .,9,9,7
phòng máy vẫn còn nhiều thiếu sót .,0,2,phòng máy vẫn còn nhiều thiếu sót .,phòng máy vẫn còn nhiều thiếu_sót .,8,8,7
"lý do doubledot sinh viên mới bắt đầu tiếp cận môn học chưa hiểu rõ các từ chuyên nghành nên không hiểu nội dung bài giảng , dù giảng viên giải thích bằng tiếng việt .",0,1,lý do sinh viên mới bắt đầu tiếp cận môn học chưa hiểu rõ các từ chuyên nghành nên không hiểu nội dung bài giảng dù giảng viên giải thích bằng tiếng việt .,lý_do sinh_viên mới bắt_đầu tiếp_cận môn_học chưa hiểu rõ các từ chuyên_ngành nên không hiểu nội_dung bài giảng dù giảng_viên giải_thích bằng tiếng việt .,36,34,25
quá nhiều kiến thức phải học .,0,1,quá nhiều kiến thức phải học .,quá nhiều kiến_thức phải học .,7,7,6
"giảng viên dạy dễ hiểu , dễ tiếp thu .",2,0,giảng viên dạy dễ hiểu dễ tiếp thu .,giảng_viên dạy dễ hiểu dễ tiếp_thu .,10,9,7
giảng viên không dạy sinh viên .,0,0,giảng viên không dạy sinh viên .,giảng_viên không dạy sinh_viên .,7,7,5
không quan tâm đến sinh viên .,0,0,không quan tâm đến sinh viên .,không quan_tâm đến sinh_viên .,7,7,5
cách truyền đạt của giảng viên không được thu hút sinh viên lắm ạ .,0,0,cách truyền đạt của giảng viên không được thu hút sinh viên lắm ạ .,cách truyền_đạt của giảng_viên không được thu_hút sinh_viên lắm ạ .,15,15,11
"em đã nán lại thêm nhưng thầy đi qua đi lại bảo 2 , 3 lần nên em đã về .",0,0,em đã nán lại thêm nhưng thầy đi qua đi lại bảo 2 3 lần nên em đã về .,em đã nán lại thêm nhưng thầy đi qua đi_lại bảo 2 3 lần nên em đã về .,21,20,19
có nhiều chỗ hơi khó hiểu trong khi thầy dạy nhưng thầy không giải thích nhiều .,0,1,có nhiều chỗ hơi khó hiểu trong khi thầy dạy nhưng thầy không giải thích nhiều .,có nhiều chỗ hơi khó hiểu trong khi thầy dạy nhưng thầy không giải_thích nhiều .,17,17,16
"bài giảng thu hút , dễ hiểu .",2,1,bài giảng thu hút dễ hiểu .,bài giảng thu_hút dễ hiểu .,8,7,6
giọng của thầy không được hay lắm .,1,0,giọng của thầy không được hay lắm .,giọng của thầy không được hay lắm .,8,8,8
giảng viến quan tâm nhiều đến sinh viên .,2,0,giảng viến quan tâm nhiều đến sinh viên .,giảng viến quan_tâm nhiều đến sinh_viên .,9,9,7
"giảng viên tận tụy , giảng dạy dễ hiểu có vận dụng các bài học vào thực tiễn , giúp sinh viên nắm rõ ràng và đầy đủ kiến thức .",2,0,giảng viên tận tụy giảng dạy dễ hiểu có vận dụng các bài học vào thực tiễn giúp sinh viên nắm rõ ràng và đầy đủ kiến thức .,giảng_viên tận tụy giảng_dạy dễ hiểu có vận_dụng các bài_học vào thực_tiễn giúp sinh_viên nắm rõ_ràng và đầy_đủ kiến_thức .,31,29,20
"giảng viên giảng dạy nhiệt tình , chi tiết , slide bài giảng và bài tập đầy đủ .",2,0,giảng viên giảng dạy nhiệt tình chi tiết slide bài giảng và bài tập đầy đủ .,giảng_viên giảng_dạy nhiệt_tình chi_tiết slide bài giảng và bài_tập đầy_đủ .,19,17,11
chúc cô thành công !,2,3,chúc cô thành công,chúc cô thành_công,5,4,3
giảng bài khá nhanh .,0,0,giảng bài khá nhanh .,giảng bài khá nhanh .,5,5,5
nghe kể chuyện hay nhiều trong khi học .,2,3,nghe kể chuyện hay nhiều trong khi học .,nghe kể chuyện hay nhiều trong khi học .,9,9,9
"dạy dễ hiểu , nhiệt tình , vui tính .",2,0,dạy dễ hiểu nhiệt tình vui tính .,dạy dễ hiểu nhiệt_tình vui_tính .,10,8,6
bài tập thầy cho khá hay và dễ hiểu bài .,2,1,bài tập thầy cho khá hay và dễ hiểu bài .,bài_tập thầy cho khá hay và dễ hiểu bài .,11,11,10
